family,group,precision_variant,num_platform_pairs,observations,unique_operations,exact_equal_count,allclose_count,divergent_count,same_shape_count,mean_fraction_unequal,median_fraction_unequal,max_fraction_unequal,mean_max_abs_diff,max_max_abs_diff,mean_max_rel_diff,max_max_rel_diff,mean_num_unequal,max_num_unequal,total_num_unequal,total_num_elements,exact_equal_rate,allclose_rate,divergent_rate,same_shape_rate,global_unequal_element_rate
global_reduction,global_reduction_cumulative,fp32,24,150,7,0,0,150,150,1.0,1.0,1.0,0.002577935898589203,0.01055908203125,4.3168327461076205e-06,1.0564038437711834e-05,1.0,1,150,150,0.0,0.0,1.0,1.0,1.0
global_reduction,global_reduction_cumulative,fp64,18,26,2,0,0,26,26,1.0,1.0,1.0,5.684341886080802e-14,5.684341886080802e-14,1.0285913858524e-15,1.3711433818040458e-15,1.0,1,26,26,0.0,0.0,1.0,1.0,1.0
global_cumulative,global_reduction_cumulative,fp32,18,36,2,0,0,36,36,0.8772925,0.8772925,0.939875,0.00054931640625,0.000732421875,0.09424149868172522,0.10391762898317834,877292.5,939875,31582530,36000000,0.0,0.0,1.0,1.0,0.8772925
patch_reduction,patch_based,fp32,18,1296,72,0,0,1296,1296,0.4739363159175659,0.52061326005076,0.720425,1.763304074605306e-06,7.62939453125e-06,0.005012126330803668,0.09375,34509.09722222222,61328,44723790,97919928,0.0,0.0,1.0,1.0,0.4567383873076377
patch_softmax,patch_based,fp32,22,264,12,0,0,264,264,0.4493655123297699,0.476766,0.5759285759285759,1.7023447788122928e-07,2.980232238769531e-07,4.2283069225430704e-07,4.7497561297087155e-07,449365.2803030303,575928,118632434,263999868,0.0,0.0,1.0,1.0,0.4493655049857828
patch_cumulative,patch_based,fp32,18,216,12,0,0,216,216,0.39486115662665666,0.39357365732515737,0.47899,2.0464261372884116e-06,3.814697265625e-06,0.06416549521695966,0.29292929292929293,394861.0,478990,85289976,215999892,0.0,0.0,1.0,1.0,0.3948611974305987
transcendental_nonlinear,transcendental_nonlinear,fp32,24,824,40,0,0,824,824,0.17876077912621358,0.164647,0.478442,3.823594560900938e-06,6.103515625e-05,1.5528218081763198e-07,2.5951795059712484e-07,178760.7791262136,478442,147298882,824000000,0.0,0.0,1.0,1.0,0.1787607791262136
mixed_fused,mixed_fused,fp32,24,66,3,0,0,66,66,0.11022987878787878,0.085053,0.234253,6.64682099313447e-07,9.5367431640625e-07,0.0026166044351504294,0.004400489443824405,110229.87878787878,234253,7275172,66000000,0.0,0.0,1.0,1.0,0.1102298787878788
global_cumulative,global_reduction_cumulative,fp64,22,38,2,0,0,38,38,0.06257515789473685,0.033344,0.114688,5.684341886080802e-14,5.684341886080802e-14,1.722975058126631e-11,3.5673040780232486e-11,62575.15789473684,114688,2377856,38000000,0.0,0.0,1.0,1.0,0.06257515789473685
power_like,elementwise_arithmetic,fp32,24,46,2,0,0,46,46,0.048445,0.061733,0.062072,7.748603820800781e-07,9.5367431640625e-07,1.1384102621361211e-07,1.192092327073895e-07,48445.0,62072,2228470,46000000,0.0,0.0,1.0,1.0,0.048445
patch_reduction,patch_based,fp64,18,36,2,0,0,36,36,1.70000045000045e-05,1.70000045000045e-05,2.5e-05,2.220446049250313e-16,2.220446049250313e-16,3.2111032164887036e-16,3.6673706189257223e-16,1.0,1,36,2719998,0.0,0.0,1.0,1.0,1.3235303849488125e-05
