platform_a,platform_b,a_to_b_unequal_rate,b_to_a_unequal_rate,abs_diff_unequal_rate,a_to_b_divergent_steps,b_to_a_divergent_steps,abs_diff_divergent_steps,a_to_b_first_divergent_operation,b_to_a_first_divergent_operation,same_first_divergent_operation,a_to_b_first_divergent_family,b_to_a_first_divergent_family,same_first_divergent_family
Platform A:CPU,Platform A:GPU,0.11554637756476213,0.11554637756476213,0.0,153,153,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
Platform A:CPU,Platform B:CPU,8.152715067877815e-07,8.152715067877815e-07,0.0,18,18,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
Platform A:CPU,Platform B:GPU,0.11625904416972004,0.11625904416972004,0.0,154,154,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
Platform A:CPU,Platform C:CPU,0.017944513615481567,0.017944513615481567,0.0,49,49,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
Platform A:CPU,Platform C:GPU,0.11625904416972004,0.11625904416972004,0.0,154,154,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
Platform A:GPU,Platform B:CPU,0.11554642727643938,0.11554642727643938,0.0,151,151,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
Platform A:GPU,Platform B:GPU,0.0007126666049579047,0.0007126666049579047,0.0,2,2,0,cumsum_a_fp64,cumsum_a_fp64,True,global_cumulative,global_cumulative,True
Platform A:GPU,Platform C:CPU,0.11910643956118906,0.11910643956118906,0.0,154,154,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
Platform A:GPU,Platform C:GPU,0.0007126666049579047,0.0007126666049579047,0.0,2,2,0,cumsum_a_fp64,cumsum_a_fp64,True,global_cumulative,global_cumulative,True
Platform B:CPU,Platform B:GPU,0.11625909388139728,0.11625909388139728,0.0,152,152,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
Platform B:CPU,Platform C:CPU,0.017944324711108045,0.017944324711108045,0.0,48,48,0,pow_pos_b_1p5,pow_pos_b_1p5,True,power_like,power_like,True
Platform B:CPU,Platform C:GPU,0.11625909388139728,0.11625909388139728,0.0,152,152,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
Platform B:GPU,Platform C:CPU,0.11981910616614697,0.11981910616614697,0.0,155,155,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
Platform B:GPU,Platform C:GPU,0.0,0.0,0.0,0,0,0,,,False,,,False
Platform C:CPU,Platform C:GPU,0.11981910616614697,0.11981910616614697,0.0,155,155,0,pow_pos_a_1p5,pow_pos_a_1p5,True,power_like,power_like,True
